theta_deg,phi_deg,eth_mag,eph_mag
0,0,1.0,0
5,0,0.9961946980917455,0
10,0,0.984807753012208,0
15,0,0.9659258262890683,0
20,0,0.9396926207859084,0
25,0,0.9063077870366499,0
30,0,0.8660254037844387,0
35,0,0.8191520442889918,0
40,0,0.766044443118978,0
45,0,0.7071067811865476,0
50,0,0.6427876096865394,0
55,0,0.5735764363510462,0
60,0,0.5000000000000001,0
65,0,0.42261826174069944,0
70,0,0.3420201433256688,0
75,0,0.25881904510252074,0
80,0,0.17364817766693041,0
85,0,0.08715574274765814,0
90,0,6.123233995736766e-17,0
95,0,0.0,0
100,0,0.0,0
105,0,0.0,0
110,0,0.0,0
115,0,0.0,0
120,0,0.0,0
125,0,0.0,0
130,0,0.0,0
135,0,0.0,0
140,0,0.0,0
145,0,0.0,0
150,0,0.0,0
155,0,0.0,0
160,0,0.0,0
165,0,0.0,0
170,0,0.0,0
175,0,0.0,0
180,0,0.0,0
