freq_hz,s11_mag,s21_mag
5e+09,1,0
5.1e+09,1,0
5.2e+09,1,0
5.3e+09,1,0
5.4e+09,1,0
5.5e+09,1,0
5.6e+09,1,0
5.7e+09,1,0
5.8e+09,1,0
5.9e+09,1,0
6e+09,1,0
6.1e+09,1,0
6.2e+09,1,0
6.3e+09,1,0
6.4e+09,1,0
6.5e+09,1,0
6.6e+09,0,1
6.7e+09,0,1
6.8e+09,0,1
6.9e+09,0,1
7e+09,0,1
7.1e+09,0,1
7.2e+09,0,1
7.3e+09,0,1
7.4e+09,0,1
7.5e+09,0,1
7.6e+09,0,1
7.7e+09,0,1
7.8e+09,0,1
7.9e+09,0,1
8e+09,0,1
8.1e+09,0,1
8.2e+09,0,1
8.3e+09,0,1
8.4e+09,0,1
8.5e+09,0,1
8.6e+09,0,1
8.7e+09,0,1
8.8e+09,0,1
8.9e+09,0,1
9e+09,0,1
9.1e+09,0,1
9.2e+09,0,1
9.3e+09,0,1
9.4e+09,0,1
9.5e+09,0,1
9.6e+09,0,1
9.7e+09,0,1
9.8e+09,0,1
9.9e+09,0,1
1e+10,0,1
